Election,HINDI,Jurisdiction,AbsenteeApplications,BallotsSent,BallotsReturned,InPersonAbsentee,
2024 General Election,14044,TOWN OF TRENTON - DODGE COUNTY,79,79,50,0,18-Oct
2024 General Election,14046,TOWN OF WESTFORD - DODGE COUNTY,133,133,77,0,18-Oct
2024 General Election,14106,VILLAGE OF BROWNSVILLE - DODGE COUNTY,35,35,19,0,18-Oct
2024 General Election,14111,VILLAGE OF CLYMAN - DODGE COUNTY,6,6,2,0,18-Oct
2024 General Election,14136,VILLAGE OF HUSTISFORD - DODGE COUNTY,55,54,29,0,18-Oct
2024 General Election,14141,VILLAGE OF IRON RIDGE - DODGE COUNTY,44,44,20,0,18-Oct
2024 General Election,14143,VILLAGE OF KEKOSKEE - DODGE COUNTY,39,38,21,0,18-Oct
2024 General Election,14146,VILLAGE OF LOMIRA - DODGE COUNTY,122,122,53,0,18-Oct
2024 General Election,14147,VILLAGE OF LOWELL - DODGE COUNTY,16,16,8,0,18-Oct
2024 General Election,14161,VILLAGE OF NEOSHO - DODGE COUNTY,30,30,15,0,18-Oct
