"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2024 General Election","14241","CITY OF JUNEAU - DODGE COUNTY","77","59","5","0"
"2024 General Election","14251","CITY OF MAYVILLE - DODGE COUNTY","331","329","19","0"
"2024 General Election","14292","CITY OF WAUPUN - MULTIPLE COUNTIES","398","394","14","0"
"2024 General Election","15002","TOWN OF BAILEYS HARBOR - DOOR COUNTY","130","125","0","0"
"2024 General Election","15004","TOWN OF BRUSSELS - DOOR COUNTY","48","46","0","0"
"2024 General Election","15006","TOWN OF CLAY BANKS - DOOR COUNTY","33","31","0","0"
"2024 General Election","15008","TOWN OF EGG HARBOR - DOOR COUNTY","116","115","3","0"
"2024 General Election","15010","TOWN OF FORESTVILLE - DOOR COUNTY","35","35","0","0"
"2024 General Election","15012","TOWN OF GARDNER - DOOR COUNTY","87","86","0","0"
"2024 General Election","15014","TOWN OF GIBRALTAR - DOOR COUNTY","134","129","0","0"
"2024 General Election","15016","TOWN OF JACKSONPORT - DOOR COUNTY","84","83","0","0"
"2024 General Election","15018","TOWN OF LIBERTY GROVE - DOOR COUNTY","198","194","0","0"
"2024 General Election","15020","TOWN OF NASEWAUPEE - DOOR COUNTY","136","136","0","0"
"2024 General Election","15022","TOWN OF SEVASTOPOL - DOOR COUNTY","269","268","2","0"
"2024 General Election","15024","TOWN OF STURGEON BAY - DOOR COUNTY","51","50","0","0"
"2024 General Election","15026","TOWN OF UNION - DOOR COUNTY","49","49","0","0"
"2024 General Election","15028","TOWN OF WASHINGTON - DOOR COUNTY","65","62","0","0"
"2024 General Election","15118","VILLAGE OF EGG HARBOR - DOOR COUNTY","39","39","0","0"
"2024 General Election","15121","VILLAGE OF EPHRAIM - DOOR COUNTY","41","40","3","0"
"2024 General Election","15127","VILLAGE OF FORESTVILLE - DOOR COUNTY","13","13","0","0"
"2024 General Election","15181","VILLAGE OF SISTER BAY - DOOR COUNTY","157","106","0","0"
"2024 General Election","15281","CITY OF STURGEON BAY - DOOR COUNTY","697","693","9","0"
"2024 General Election","16002","TOWN OF AMNICON - DOUGLAS COUNTY","71","71","0","0"
"2024 General Election","16004","TOWN OF BENNETT - DOUGLAS COUNTY","42","41","0","0"
"2024 General Election","16006","TOWN OF BRULE - DOUGLAS COUNTY","45","44","0","0"
"2024 General Election","16008","TOWN OF CLOVERLAND - DOUGLAS COUNTY","7","7","0","0"
"2024 General Election","16010","TOWN OF DAIRYLAND - DOUGLAS COUNTY","9","9","0","0"
"2024 General Election","16012","TOWN OF GORDON - DOUGLAS COUNTY","42","41","0","0"
"2024 General Election","16014","TOWN OF HAWTHORNE - DOUGLAS COUNTY","42","39","0","0"
