"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2024 General Election","50006","TOWN OF AMHERST - PORTAGE COUNTY","113","113","19","0"
"2024 General Election","50008","TOWN OF BELMONT - PORTAGE COUNTY","47","46","8","0"
"2024 General Election","50010","TOWN OF BUENA VISTA - PORTAGE COUNTY","50","50","1","0"
"2024 General Election","50012","TOWN OF CARSON - PORTAGE COUNTY","109","109","20","0"
"2024 General Election","50014","TOWN OF DEWEY - PORTAGE COUNTY","97","92","11","0"
"2024 General Election","50016","TOWN OF EAU PLEINE - PORTAGE COUNTY","42","42","9","0"
"2024 General Election","50018","TOWN OF GRANT - PORTAGE COUNTY","157","157","6","0"
"2024 General Election","50020","TOWN OF HULL - PORTAGE COUNTY","454","445","112","0"
"2024 General Election","50022","TOWN OF LANARK - PORTAGE COUNTY","113","113","26","0"
"2024 General Election","50024","TOWN OF LINWOOD - PORTAGE COUNTY","82","81","19","0"
"2024 General Election","50026","TOWN OF NEW HOPE - PORTAGE COUNTY","89","89","7","0"
"2024 General Election","50028","TOWN OF PINE GROVE - PORTAGE COUNTY","20","20","3","0"
"2024 General Election","50030","TOWN OF PLOVER - PORTAGE COUNTY","103","103","3","0"
"2024 General Election","50032","TOWN OF SHARON - PORTAGE COUNTY","144","144","31","0"
"2024 General Election","50034","TOWN OF STOCKTON - PORTAGE COUNTY","182","180","15","0"
"2024 General Election","50101","VILLAGE OF ALMOND - PORTAGE COUNTY","14","14","0","0"
"2024 General Election","50102","VILLAGE OF AMHERST - PORTAGE COUNTY","64","64","15","0"
"2024 General Election","50103","VILLAGE OF AMHERST JUNCTION - PORTAGE COUNTY","18","17","7","0"
"2024 General Election","50141","VILLAGE OF JUNCTION CITY - PORTAGE COUNTY","12","12","0","0"
"2024 General Election","50161","VILLAGE OF NELSONVILLE - PORTAGE COUNTY","10","9","0","0"
"2024 General Election","50171","VILLAGE OF PARK RIDGE - PORTAGE COUNTY","73","69","19","0"
"2024 General Election","50173","VILLAGE OF PLOVER - PORTAGE COUNTY","1427","1366","502","0"
"2024 General Election","50176","VILLAGE OF ROSHOLT - PORTAGE COUNTY","6","6","0","0"
"2024 General Election","50191","VILLAGE OF WHITING - PORTAGE COUNTY","181","136","52","0"
"2024 General Election","50281","CITY OF STEVENS POINT - PORTAGE COUNTY","2171","2086","372","0"
"2024 General Election","51002","TOWN OF CATAWBA - PRICE COUNTY","16","16","0","0"
"2024 General Election","51004","TOWN OF EISENSTEIN - PRICE COUNTY","23","23","4","0"
"2024 General Election","51006","TOWN OF ELK - PRICE COUNTY","58","58","1","0"
"2024 General Election","51008","TOWN OF EMERY - PRICE COUNTY","23","23","0","0"
"2024 General Election","51010","TOWN OF FIFIELD - PRICE COUNTY","65","65","13","0"
"2024 General Election","51012","TOWN OF FLAMBEAU - PRICE COUNTY","55","50","0","0"
